"SiteSubsitePlotYear","SiteSubsitePlot","SR"
"ABISKO:ABISKOWET_FLUX:2_CTL:2006","ABISKO:ABISKOWET_FLUX:2_CTL",9
"ABISKO:ABISKOWET_FLUX:2_CTL:2006","ABISKO:ABISKOWET_FLUX:2_CTL",9
"ABISKO:ABISKOWET_FLUX:2_CTL:2006","ABISKO:ABISKOWET_FLUX:2_CTL",9
"ABISKO:ABISKOWET_FLUX:2_CTL:2006","ABISKO:ABISKOWET_FLUX:2_CTL",9
"ABISKO:ABISKOWET_FLUX:2_CTL:2006","ABISKO:ABISKOWET_FLUX:2_CTL",9
"ABISKO:ABISKOWET_FLUX:2_CTL:2006","ABISKO:ABISKOWET_FLUX:2_CTL",9
"ABISKO:ABISKOWET_FLUX:2_CTL:2007","ABISKO:ABISKOWET_FLUX:2_CTL",11
"ABISKO:ABISKOWET_FLUX:2_CTL:2007","ABISKO:ABISKOWET_FLUX:2_CTL",11
"ABISKO:ABISKOWET_FLUX:2_CTL:2007","ABISKO:ABISKOWET_FLUX:2_CTL",11
"ABISKO:ABISKOWET_FLUX:2_CTL:2007","ABISKO:ABISKOWET_FLUX:2_CTL",11
"ABISKO:ABISKOWET_FLUX:2_CTL:2007","ABISKO:ABISKOWET_FLUX:2_CTL",11
"ABISKO:ABISKOWET_FLUX:2_CTL:2007","ABISKO:ABISKOWET_FLUX:2_CTL",11
"ABISKO:ABISKOWET_FLUX:2_CTL:2007","ABISKO:ABISKOWET_FLUX:2_CTL",11
"ABISKO:ABISKOWET_FLUX:2_CTL:2007","ABISKO:ABISKOWET_FLUX:2_CTL",11
"ABISKO:ABISKOWET_FLUX:2_CTL:2007","ABISKO:ABISKOWET_FLUX:2_CTL",11
"ABISKO:ABISKOWET_FLUX:2_CTL:2007","ABISKO:ABISKOWET_FLUX:2_CTL",11
"ABISKO:ABISKOWET_FLUX:2_CTL:2007","ABISKO:ABISKOWET_FLUX:2_CTL",11
"ABISKO:ABISKOWET_FLUX:2_CTL:2010","ABISKO:ABISKOWET_FLUX:2_CTL",8
"ABISKO:ABISKOWET_FLUX:2_CTL:2010","ABISKO:ABISKOWET_FLUX:2_CTL",8
"ABISKO:ABISKOWET_FLUX:2_CTL:2010","ABISKO:ABISKOWET_FLUX:2_CTL",8
"ABISKO:ABISKOWET_FLUX:2_CTL:2010","ABISKO:ABISKOWET_FLUX:2_CTL",8
"ABISKO:ABISKOWET_FLUX:2_CTL:2010","ABISKO:ABISKOWET_FLUX:2_CTL",8
"ABISKO:ABISKOWET_FLUX:2_CTL:2010","ABISKO:ABISKOWET_FLUX:2_CTL",8
"ABISKO:ABISKOWET_FLUX:2_CTL:2010","ABISKO:ABISKOWET_FLUX:2_CTL",8
"ABISKO:ABISKOWET_FLUX:2_CTL:2010","ABISKO:ABISKOWET_FLUX:2_CTL",8
"ABISKO:ABISKOWET_FLUX:2_CTL:2012","ABISKO:ABISKOWET_FLUX:2_CTL",9
"ABISKO:ABISKOWET_FLUX:2_CTL:2012","ABISKO:ABISKOWET_FLUX:2_CTL",9
"ABISKO:ABISKOWET_FLUX:2_CTL:2012","ABISKO:ABISKOWET_FLUX:2_CTL",9
"ABISKO:ABISKOWET_FLUX:2_CTL:2012","ABISKO:ABISKOWET_FLUX:2_CTL",9
"ABISKO:ABISKOWET_FLUX:2_CTL:2012","ABISKO:ABISKOWET_FLUX:2_CTL",9
"ABISKO:ABISKOWET_FLUX:2_CTL:2012","ABISKO:ABISKOWET_FLUX:2_CTL",9
"ABISKO:ABISKOWET_FLUX:2_CTL:2012","ABISKO:ABISKOWET_FLUX:2_CTL",9
"ABISKO:ABISKOWET_FLUX:2_CTL:2012","ABISKO:ABISKOWET_FLUX:2_CTL",9
"ABISKO:ABISKOWET_FLUX:2_CTL:2012","ABISKO:ABISKOWET_FLUX:2_CTL",9
"ABISKO:ABISKOWET_FLUX:3_CTL:2006","ABISKO:ABISKOWET_FLUX:3_CTL",7
"ABISKO:ABISKOWET_FLUX:3_CTL:2006","ABISKO:ABISKOWET_FLUX:3_CTL",7
"ABISKO:ABISKOWET_FLUX:3_CTL:2006","ABISKO:ABISKOWET_FLUX:3_CTL",7
"ABISKO:ABISKOWET_FLUX:3_CTL:2006","ABISKO:ABISKOWET_FLUX:3_CTL",7
"ABISKO:ABISKOWET_FLUX:3_CTL:2006","ABISKO:ABISKOWET_FLUX:3_CTL",7
"ABISKO:ABISKOWET_FLUX:3_CTL:2006","ABISKO:ABISKOWET_FLUX:3_CTL",7
"ABISKO:ABISKOWET_FLUX:3_CTL:2006","ABISKO:ABISKOWET_FLUX:3_CTL",7
"ABISKO:ABISKOWET_FLUX:3_CTL:2007","ABISKO:ABISKOWET_FLUX:3_CTL",6
"ABISKO:ABISKOWET_FLUX:3_CTL:2007","ABISKO:ABISKOWET_FLUX:3_CTL",6
"ABISKO:ABISKOWET_FLUX:3_CTL:2007","ABISKO:ABISKOWET_FLUX:3_CTL",6
"ABISKO:ABISKOWET_FLUX:3_CTL:2007","ABISKO:ABISKOWET_FLUX:3_CTL",6
"ABISKO:ABISKOWET_FLUX:3_CTL:2007","ABISKO:ABISKOWET_FLUX:3_CTL",6
"ABISKO:ABISKOWET_FLUX:3_CTL:2007","ABISKO:ABISKOWET_FLUX:3_CTL",6
"ABISKO:ABISKOWET_FLUX:3_CTL:2010","ABISKO:ABISKOWET_FLUX:3_CTL",7
"ABISKO:ABISKOWET_FLUX:3_CTL:2010","ABISKO:ABISKOWET_FLUX:3_CTL",7
"ABISKO:ABISKOWET_FLUX:3_CTL:2010","ABISKO:ABISKOWET_FLUX:3_CTL",7
"ABISKO:ABISKOWET_FLUX:3_CTL:2010","ABISKO:ABISKOWET_FLUX:3_CTL",7
"ABISKO:ABISKOWET_FLUX:3_CTL:2010","ABISKO:ABISKOWET_FLUX:3_CTL",7
