"","Taxon","Genus","Hybrid.marker","Species","Abbrev","Infraspecific.rank","Infraspecific","Authority","ID","Plant.Name.Index","TPL.version","Taxonomic.status","Family","New.Genus","New.Hybrid.marker","New.Species","New.Infraspecific.rank","New.Infraspecific","New.Authority","New.ID","New.Taxonomic.status","Typo","WFormat","Higher.level","Date"
"138","Dianthus gratianopolitanus","Dianthus","","gratianopolitanus",NA,NA,"","","kew-2764306",TRUE,"1.1","Accepted","Caryophyllaceae","Dianthus","","gratianopolitanus","","","Vill.","kew-2764306","Accepted",FALSE,FALSE,FALSE,2022-02-28
"139","Dianthus repens","Dianthus","","repens",NA,NA,"","","kew-2764814",TRUE,"1.1","Accepted","Caryophyllaceae","Dianthus","","repens","","","Willd.","kew-2764814","Accepted",FALSE,FALSE,FALSE,2022-02-28
"140","Dianthus superbus","Dianthus","","superbus",NA,NA,"","","kew-2764999",TRUE,"1.1","Accepted","Caryophyllaceae","Dianthus","","superbus","","","L.","kew-2764999","Accepted",FALSE,FALSE,FALSE,2022-02-28
"141","Diapensia lapponica","Diapensia","","lapponica",NA,NA,"","","kew-2765262",TRUE,"1.1","Accepted","Diapensiaceae","Diapensia","","lapponica","","","L.","kew-2765262","Accepted",FALSE,FALSE,FALSE,2022-02-28
"142","Dicentra peregrina","Dicentra","","peregrina",NA,NA,"","","kew-2765624",TRUE,"1.1","Accepted","Papaveraceae","Dicentra","","peregrina","","","(Rudolph) Makino","kew-2765624","Accepted",FALSE,FALSE,FALSE,2022-02-28
"143","Diphasiastrum alpinum","Diphasiastrum","","alpinum",NA,NA,"","","tro-26604913",TRUE,"1.1","Accepted","Lycopodiaceae","Diphasiastrum","","alpinum","","","(L.) Holub","tro-26604913","Accepted",FALSE,FALSE,FALSE,2022-02-28
"144","Diphasiastrum complanatum","Diphasiastrum","","complanatum",NA,NA,"","","tro-26604914",TRUE,"1.1","Accepted","Lycopodiaceae","Diphasiastrum","","complanatum","","","(L.) Holub","tro-26604914","Accepted",FALSE,FALSE,FALSE,2022-02-28
"145","Draba alpina","Draba","","alpina",NA,NA,"","","kew-2776188",TRUE,"1.1","Accepted","Brassicaceae","Draba","","alpina","","","L.","kew-2776188","Accepted",FALSE,FALSE,FALSE,2022-02-28
"146","Draba hirta","Draba","","hirta",NA,NA,"","","kew-2776722",TRUE,"1.1","Accepted","Brassicaceae","Draba","","hirta","","","L.","kew-2776722","Accepted",FALSE,FALSE,FALSE,2022-02-28
"147","Draba incana","Draba","","incana",NA,NA,"","","kew-2776772",TRUE,"1.1","Accepted","Brassicaceae","Draba","","incana","","","L.","kew-2776772","Accepted",FALSE,FALSE,FALSE,2022-02-28
"148","Draba ussuriensis","Draba","","ussuriensis",NA,NA,"","","kew-2777492",TRUE,"1.1","Accepted","Brassicaceae","Draba","","ussuriensis","","","Pohle","kew-2777492","Accepted",FALSE,FALSE,FALSE,2022-02-28
"149","Drosera anglica","Drosera","","anglica",NA,NA,"","","kew-64244",TRUE,"1.1","Accepted","Droseraceae","Drosera","","anglica","","","Huds.","kew-64244","Accepted",FALSE,FALSE,FALSE,2022-02-28
"150","Drosera rotundifolia","Drosera","","rotundifolia",NA,NA,"","","kew-64562",TRUE,"1.1","Accepted","Droseraceae","Drosera","","rotundifolia","","","L.","kew-64562","Accepted",FALSE,FALSE,FALSE,2022-02-28
"151","Dryas grandis","Dryas","","grandis",NA,NA,"","","rjp-15603",TRUE,"1.1","Accepted","Rosaceae","Dryas","","grandis","","","Juz.","rjp-15603","Accepted",FALSE,FALSE,FALSE,2022-02-28
"152","Dryas integrifolia","Dryas","","integrifolia",NA,NA,"","","rjp-5504",TRUE,"1.1","Accepted","Rosaceae","Dryas","","integrifolia","","","Vahl","rjp-5504","Accepted",FALSE,FALSE,FALSE,2022-02-28
"153","Dryas NA","Dryas","","na",NA,NA,"","","",FALSE,"1.1","","","Dryas","","na",NA,"","","","",FALSE,FALSE,FALSE,2022-02-28
