"X","nbsp","sing.sp","FRic","qual.FRic","FEve","FDis","RaoQ","Warning","Error"
1881,11,11,26.9205128830175,0.762376563263314,0.520385522370483,2.46501506851634,6.70417902314978,NA,NA
1882,10,10,28.8647978747335,0.852798915819068,0.540013199294095,2.33485734525928,6.34134600551865,NA,NA
1883,9,9,27.0493931154061,0.86744621049408,0.517352278075712,2.21985988926416,5.82625374913698,NA,NA
1884,7,7,20.555675675918,0.960717388108342,0.622759869216206,2.12395713072009,5.33138186965039,NA,NA
1885,8,8,23.8546082981328,0.860289107991119,0.61344180180731,2.35677323190741,6.1544004504175,NA,NA
1886,7,7,17.307548140878,0.873679400731691,0.490739695083202,2.00301441047357,4.79182065247283,NA,NA
1887,8,8,19.2298813527084,0.832157534632167,0.278290269238797,2.11819608454551,5.05736644190231,NA,NA
1888,8,8,22.114969804727,0.887540084218697,0.280503548120251,2.09213014906434,4.66490747221417,NA,NA
1889,6,6,14.027799115583,0.91006352383317,0.789169424827007,2.19797744500978,5.04404004929407,NA,NA
1890,6,6,14.4739379986139,0.925799561840836,0.5442416383464,2.26258463120783,5.61728762318631,NA,NA
1891,7,7,17.307548140878,0.873679400731691,0.391988879091383,2.27173544863143,5.44505605830376,NA,NA
1892,12,12,23.9555996256393,0.793564674829865,0.602873321229971,3.06639127884675,9.74928379492919,NA,NA
1893,13,13,34.173869264602,0.847647097431499,0.585232906159773,2.55824609826421,6.98731848842459,NA,NA
1894,9,9,19.2340777396958,0.867628348567597,0.410622055562321,2.40703873565532,6.78235789826699,NA,NA
1895,8,8,21.4438003623276,0.844524454746208,0.748892406409521,2.59383875094323,7.12686673582315,NA,NA
1896,8,8,21.2884063182431,0.88182190018967,0.548409732509572,2.37864929038421,6.37000313856446,NA,NA
1897,13,13,23.8889352399338,0.718048523755316,0.707676996358985,2.97893539531813,9.3899006623112,NA,NA
1898,11,11,28.2222374187822,0.765697778656288,0.643509776331542,2.98113511760691,9.71890315310071,NA,NA
1899,11,11,28.2222374187822,0.765697778656288,0.666368818266741,3.08813204041807,10.4420467355563,NA,NA
1900,10,10,25.3108660332113,0.778764893165532,0.751086685344013,2.96115109683168,9.77208747308517,NA,NA
1901,7,7,16.2266446965439,0.853725220797288,0.728982132894437,1.92754143750707,5.12447723777461,NA,NA
1902,9,9,22.2290149025103,0.828207248412463,0.604151422162398,3.04433685736701,9.69590029655027,NA,NA
1903,7,7,16.6202887196907,0.860313409664651,0.64927151524089,2.79432755300172,8.04376152081572,NA,NA
1904,7,7,16.9433149989909,0.859161301547468,0.623845023426704,2.6293385504516,7.17447848697754,NA,NA
1905,10,10,21.2818618364685,0.781610486263864,0.532988130669385,1.69653932848299,4.31670895108706,NA,NA
1906,10,10,23.0045684585574,0.748153516015779,0.571874191382337,2.04674532258559,5.51513651719279,NA,NA
1907,8,8,17.8384954236655,0.835289707487187,0.674414388847549,2.25100549865167,5.72124078153583,NA,NA
1908,8,8,19.229973997141,0.792599156552299,0.414484029342232,2.09317897133342,5.14609967200092,NA,NA
1909,8,8,18.6354372573409,0.882176081377875,0.64910284352429,2.62313258552835,7.60397275076796,NA,NA
1910,11,11,27.3418096237076,0.823374044944476,0.622196187467174,2.65535997509411,8.18931863430142,NA,NA
1911,10,10,26.6953019483591,0.835438455938434,0.629821795123878,2.76816560015923,8.63036197537972,NA,NA
1912,10,10,22.1749535485321,0.839252561254853,0.674595124301161,2.75532315362918,8.67524158178756,NA,NA
1913,7,7,16.6495594233425,0.925021231271003,0.696900227108196,2.40463203417727,6.10194063571406,NA,NA
1914,8,8,16.7100087881641,0.884122257123563,0.484925488597242,2.53578266395659,6.84398285163424,NA,NA
1915,7,7,11.1735746223399,0.903251385118151,0.328779994045423,1.9105513054616,4.34360961238713,NA,NA
1916,8,8,20.2355437254836,0.895398619993847,0.579049673420428,2.49608381792043,6.59588299329938,NA,NA
1917,5,5,8.7760450391309,0.96806311453012,0.70689138673516,2.01870169487566,4.41373904412098,NA,NA
1918,10,10,28.6244181657268,0.853673403969868,0.637246657015578,2.35761876556109,6.11903541857749,NA,NA
1919,11,11,30.8264716356649,0.858765459806344,0.44658673887549,2.47769547450061,6.53605614150724,NA,NA
1920,9,9,25.525667776485,0.860548354574252,0.619175927582802,2.19360422295707,5.26794124751669,NA,NA
1921,7,7,19.0710229520285,0.851388653677283,0.50067818915432,2.32284877183562,5.79029879975672,NA,NA
1922,4,4,7.77281548643964,1,0.728246634222901,2.36364035427921,6.32184306008078,NA,NA
1923,4,4,7.77281548643964,1,0.730010032615804,2.42425394401476,6.54177448304889,NA,NA
1924,5,5,12.9711079734128,0.930054573983764,0.751169990152707,2.29397364171162,5.64641828304298,NA,NA
1925,5,5,12.9711079734128,0.930054573983764,0.708405756898644,2.2836261748975,5.51518612324203,NA,NA
1926,4,4,7.77281548643964,1,0.371588064753341,2.17902176556988,5.09140990110057,NA,NA
1927,3,3,NA,NA,0.579168573649935,1.86080081234231,3.55055444926059,NA,NA
1928,4,4,6.90357104648267,1,0.507957451649342,2.16031247622673,4.94835308735676,NA,NA
1929,5,5,9.8196015359555,0.933834696549234,0.586268487785423,2.8081846114595,8.13558883896341,NA,NA
1930,6,6,13.4941090884571,0.890096915039019,0.616510144011634,2.67357722805603,7.6974048930465,NA,NA
1931,4,4,5.15756964072483,1,0.75583252201258,2.24244852482658,5.95763410811005,NA,NA
1932,4,4,5.15756964072483,1,0.711816697751579,2.6074205395781,7.09692204435374,NA,NA
1933,4,4,5.15756964072483,1,0.735384175972326,2.08052579312759,5.52945840619909,NA,NA
1934,4,4,4.94104339393375,1,0.855975404068755,2.37484053140483,6.1235483217368,NA,NA
1935,4,4,5.15756964072483,1,0.824831576662156,2.61627315729228,7.40040919902977,NA,NA
1936,4,4,5.15756964072483,1,0.708838570214688,2.72140295849727,7.82467346756431,NA,NA
1937,3,3,NA,NA,0.239104440108336,0.983743315808071,2.20447004978693,NA,NA
1938,4,4,7.77281548643964,1,0.563545756970585,1.11110902791348,2.90985007022467,NA,NA
1939,4,4,7.77281548643964,1,0.505644189816333,0.849738823119009,2.06478381294271,NA,NA
1940,4,4,7.77281548643964,1,0.285580024263917,1.48046832544396,3.28805961456545,NA,NA
1941,3,3,NA,NA,0.351194907255896,1.37979552073268,3.08350663812168,NA,NA
1942,3,3,NA,NA,0.234465460464737,0.984086792650027,2.28472298890115,NA,NA
1943,3,3,NA,NA,0.318599961668683,1.27017044468997,2.84635738757413,NA,NA
1944,7,7,19.1108133054221,0.93966777596325,0.452531865007878,1.64474154763046,3.6104531737065,NA,NA
1945,9,9,22.6798705742779,0.802718959034265,0.544465892530503,2.39602579726404,6.11248218087302,NA,NA
1946,8,8,20.1894569404023,0.798883470556293,0.497089958839622,2.26781992798595,5.52173348552219,NA,NA
1947,8,8,20.8303560913926,0.791346231651668,0.419731636785343,2.3026249824208,5.6375055098853,NA,NA
1948,7,7,18.2220013254348,0.853388940790915,0.432172773010857,2.21173417295755,5.11641031507935,NA,NA
1949,9,9,26.3994516740639,0.82695845470882,0.472030553950697,2.25935960135137,5.36441106256207,NA,NA
1950,6,6,12.769985353448,0.823137802064418,0.691652309327469,2.36568089576352,5.91051147493813,NA,NA
1951,7,7,16.7889244310285,0.848444853246053,0.386582158774708,2.22476648865117,5.35159260602221,NA,NA
1952,7,7,15.9684677090839,0.897239445226543,0.751448706369748,2.41571609608158,6.27401870827636,NA,NA
1953,7,7,16.7607596864131,0.785649674662293,0.509639066186222,2.42253845623516,6.11250873897185,NA,NA
1954,10,10,31.4050104452178,0.797531383240308,0.6697907200184,2.64119999704619,7.55261037256521,NA,NA
1955,9,9,27.0978391612781,0.797231433456218,0.681592717376268,2.20362356673563,5.39123707780117,NA,NA
1956,10,10,28.6909741960682,0.773900401615666,0.516379220091719,2.52523740166472,6.63750026718811,NA,NA
1957,11,11,29.6204625765579,0.787719616116967,0.478515428838994,2.32723032570207,5.88837585743884,NA,NA
1958,9,9,22.5754926846769,0.824034568140792,0.592048325282748,2.82480459103875,8.21534281457342,NA,NA
1959,7,7,19.7419959877558,0.917535349470516,0.680586594213223,2.71342202052711,7.66316955728679,NA,NA
1960,9,9,27.1622489180373,0.796718062137698,0.576379916133432,2.38689621168034,6.06206418987468,NA,NA
1961,4,4,1.37807840122946,1,0.58949385029243,2.49628064828267,7.0172146328526,NA,NA
1962,7,7,19.4364961423677,0.942039355436779,0.779099156532509,1.92619626882363,5.02034710717064,NA,NA
1963,5,5,9.71759872990451,0.996922576016313,0.523162646747644,1.00563429736714,2.5208597535849,NA,NA
1964,7,7,18.7895230633795,0.941442573127284,0.567143874174133,2.22367119096435,6.10582396827827,NA,NA
1965,5,5,6.51410906659314,0.996459120121295,0.637449312469843,1.89195643005873,5.32292841216377,NA,NA
